Standard ID,Title,Discipline,Source,Local File,Status
DEP 34.17.10.30,"Design of Blast Resistant Onshore Buildings, Control Rooms, & Field Auxiliary Rooms",Electrical / Instrumentation,PDO Guide to Engineering Standards and Procedures PDF supplied by user,,Reference only - official licensed copy required
DEP 34.17.10.31,Laboratories,Civil / Structural,PDO Guide to Engineering Standards and Procedures PDF supplied by user,,Reference only - official licensed copy required
DEP 34.17.10.33,Portable Blast-Resistant Modules,Civil / Structural,PDO Guide to Engineering Standards and Procedures PDF supplied by user,,Reference only - official licensed copy required
DEP 34.17.10.35,Siting of Onshore Occupied Portable Buildings,Civil / Structural,PDO Guide to Engineering Standards and Procedures PDF supplied by user,,Reference only - official licensed copy required
DEP 34.19.20.11,Fireproofing of Steel Structures,Civil / Structural,PDO Guide to Engineering Standards and Procedures PDF supplied by user,,Reference only - official licensed copy required
DEP 34.19.20.31,Reinforced Concrete Structures,Civil / Structural,PDO Guide to Engineering Standards and Procedures PDF supplied by user,assets/standards/CODE_AND_STANDARD/DEP 34.19.20.31-Gen.pdf,Available in Standards Library
DEP 34.24.26.31,"Chimneys selection, design and engineering (based on EN 1992-1-1",Civil / Structural,PDO Guide to Engineering Standards and Procedures PDF supplied by user,,Reference only - official licensed copy required
DEP 34.28.00.31,Onshore Steel Structures,Civil / Structural,PDO Guide to Engineering Standards and Procedures PDF supplied by user,,Reference only - official licensed copy required
DEP 34.28.00.33,Onshore Ancillary Steel Structures,Civil / Structural,PDO Guide to Engineering Standards and Procedures PDF supplied by user,,Reference only - official licensed copy required
DEP 31.76.10.10,"Heating, Ventilation and Air Conditioning for Plant Building",Civil / Structural,PDO Guide to Engineering Standards and Procedures PDF supplied by user,,Reference only - official licensed copy required
DEP 31.76.10.11,"nstallation, Testing and Balancing, and Commissioning of HVAC Systems",Mechanical / Piping,PDO Guide to Engineering Standards and Procedures PDF supplied by user,,Reference only - official licensed copy required
DEP 31.40.40.38,PDO Hydrostatic Pressure Testing of New Pipelines Based on,Piping / Pipeline,PDO Guide to Engineering Standards and Procedures PDF supplied by user,,Reference only - official licensed copy required
DEP 31.40.40.38-GEN,Title not available in source guide,Mechanical / Piping,PDO Guide to Engineering Standards and Procedures PDF supplied by user,,Reference only - official licensed copy required
DEP 31.40.60.12,PDO Pipeline Repairs (Supplement to ASME B31.4 & B31.8) Based on,Piping / Pipeline,PDO Guide to Engineering Standards and Procedures PDF supplied by user,,Reference only - official licensed copy required
DEP 31.40.60.12-GEN,Title not available in source guide,Mechanical / Piping,PDO Guide to Engineering Standards and Procedures PDF supplied by user,,Reference only - official licensed copy required
DEP 31.40.21.31,PDO Pipeline Isolating Joints,Piping / Pipeline,PDO Guide to Engineering Standards and Procedures PDF supplied by user,,Reference only - official licensed copy required
DEP 31.40.21.31-GEN,1999) Ver. 1.0,Mechanical / Piping,PDO Guide to Engineering Standards and Procedures PDF supplied by user,,Reference only - official licensed copy required
DEP 31.38.60.10,"Hot Tapping on Pipelines, Piping and Equipment - Owner - Mechanical Static",Piping / Pipeline,PDO Guide to Engineering Standards and Procedures PDF supplied by user,,Reference only - official licensed copy required
DEP 31.40.10.12,Design Of Multiple-pipe Slug Catchers,Piping / Pipeline,PDO Guide to Engineering Standards and Procedures PDF supplied by user,,Reference only - official licensed copy required
DEP 31.40.10.13,Design of Pipeline Pig Trap Systems,Piping / Pipeline,PDO Guide to Engineering Standards and Procedures PDF supplied by user,,Reference only - official licensed copy required
DEP 31.40.10.16,Upheaval Buckling of Pipelines,Mechanical / Piping,PDO Guide to Engineering Standards and Procedures PDF supplied by user,,Reference only - official licensed copy required
